discipline,rank,school_name,school_url,student_faculty_ratio,grad_rate,retention_rate,accept_rate,enroll_rate,aid_rate,default_rate,description,street_address,city,state,zip,website,program_page,logo_url
Accounting,11,University of Massachusetts-Amherst,http://www.umass.edu,17 to 1,54%,90%,61%,20%,60%,4.9%,"Distance learners looking for accounting schools online find a bachelor’s in business administration-accounting at the University of Massachusetts-Amherst’s Isenberg School of Management. The program prepares students to work in accounting, tax, consulting, and auditing positions. Faculty members who teach on campus also provide online instruction, and all professors have professional experience in accounting. Topics covered include information systems, taxation, financial reporting, and managerial accounting. Required major courses span from CPA law to cost accounting. Accounting majors also complete 11 core business courses like business data analysis, corporate finance, and management communications. Students must complete 120 credits in order to graduate, with at least 45 taken at UMass Amherst. Distance learners benefit from academic advisors with an average of 10 years experience helping online students and a university career center dedicated to helping graduates land jobs at global accounting firms.",374 Whitmore Building 181 Presidents Drive,Amherst,MA,01003,http://www.umass.edu,https://www.isenberg.umass.edu/programs/undergraduate/online/majors/accounting,
Accounting,12,McKendree University,http://www.mckendree.edu/prospective/admissions/index.aspx,14 to 1,33%,76%,61%,35%,56%,9.3%,"McKendree University in Lebanon, Ill., offers an online accounting degree through its School of Business. The bachelor’s of business administration-accounting concentration program is designed for busy working professionals. Online courses last eight weeks, and most elearners take two classes at a time. Students in the online 120-credit bachelor’s program can choose to apply their credits toward the 150 credits required to sit for the CPA exam, and may earn the additional 30 credits needed by taking extra undergraduate or graduate courses at McKendree. Transfer students appreciate the school’s generous transfer credit policy: only 30 of the required 120 credits must be taken at McKendree, so up to 90 transfer credits with a grade of ‘C’ or better may be accepted from regionally-accredited institutions. At least 40 credit hours must be taken at the 300 or 400 level. Accounting courses offered include business ethics, taxation of business entities, and auditing.",701 College Rd,Lebanon,IL,62254-1291,http://www.mckendree.edu/prospective/admissions/index.aspx,http://www.mckendree.edu/admission/info/online/accounting.php,
Accounting,13,Bushnell University,https://www.bushnell.edu/,15 to 1,33%,70%,71%,30%,81%,5.2%,"Students interested in online accounting degree programs find a bachelor’s of science in accounting at Northwest Christian University in Eugene, Ore. The degree is designed for people already working at the entry-level in accounting, and includes coursework in marketing and management, as well as accounting. Northwest’s flexible program includes six start times each year, eight-week sessions, and an optional one-night-per-week in-person class. Students may get credit for prior learning experiences in the military, law enforcement, or on-the-job training. Prerequisites for the major include principles of accounting I and II, microeconomics, and macroeconomics. Required classes cover auditing, accounting for nonprofit organizations, and small business management. Students also take a capstone and an internship, providing real-world experience in the accounting field. Graduates leave the program prepared for accounting-related positions in government, professional CPA firms, not-for-profit groups, and corporations.",828 E. 11th Ave.,Eugene,OR,97401-3745,https://www.bushnell.edu/,https://www.bushnell.edu/academics/undergraduate/majors-minors/accounting/,
Accounting,14,Northwood University-Michigan,http://www.northwood.edu,16 to 1,40%,78%,69%,36%,71%,11.6%,"Northwood University-Michigan offers distance learners a BBA in accounting . Based in Midland, Northwood is a university focused on the business professions and one of the best online colleges for accounting. The private, nonprofit school serves more than 23,000 students annually. The BBA in accounting degree curriculum blends accounting and management courses, and students start taking accounting classes their first semester in the program. Classes are available in either eight- or 16-week sessions. The 123-credit, four-year bachelor’s degree program requires courses like accounting ethics, estate planning theory, philosophy of American enterprise, and strategic planning. Students interested in an intensive, accelerated program of study may be eligible to earn both their bachelor’s and master’s in just four years total, with the four-year BBA/MBA track. In this fast-track program, students earn their bachelor’s degree in three years and then spend the fourth year working on their master’s in business administration.",4000 Whiting Dr,Midland,MI,48640-2398,http://www.northwood.edu,https://www.northwood.edu/academics/undergraduate/accounting,
Accounting,15,California Baptist University,http://www.calbaptist.edu,18 to 1,45%,83%,79%,32%,77%,8.1%,"One of the best online colleges for accounting is California Baptist University, which offers distance learners a bachelor’s of science in accounting . Located in Riverside, CBU is a private, Christian school with a liberal arts focus. The accounting program prepares students to sit for the CPA exam and to begin entry-level accounting work in numerous industries. CBU’s online professors have real-world experience in accounting, and small class sizes give distance learning a more personal touch. In addition to general education requirements, students in the BS in accounting program must complete 73 units within the accounting major. The curriculum explores financial analysis, government accounting, quantitative business analysis, and information systems. During their senior year, students take a zero-credit pass/fail exit exam covering basic business concepts. Students interested in gaining more experience outside the standard curriculum have the opportunity to participate in a two-week summer program in England at Oxford University.",8432 Magnolia Ave,Riverside,CA,92504-3297,http://www.calbaptist.edu,http://www.calbaptist.edu/academics/schools-colleges/school-business/programs/bachelor-science-accounting/,
Accounting,16,Washington State University,http://wsu.edu/,15 to 1,39%,80%,82%,34%,49%,5.2%,"Distance learners searching for online accounting degree programs find a bachelor’s of science in accounting at the Carson College of Business at Washington State University. Located in Pullman, WSU is a public research school serving close to 30,000 students each year. The degree stands out for its emphasis on technology and intellectual innovation. WSU’s flexible online format features seven-week courses, and students can attend either part- or full-time. The curriculum is available entirely online, with no on-campus requirements. Each learner works with a special online advisor to plan out their program of study. To earn the BS, students must complete the university’s general education requirements, which can be satisfied with a direct transfer degree, as well as business and accounting courses. The program requires a six-credit international experience , designed to ensure that students find success in the global marketplace. Numerous options exist for fulfilling the requirements, including coursework, study abroad, and international internships.",French Administration Building,Pullman,WA,99164-5910,http://wsu.edu/,https://www.online.wsu.edu/undergrad/accounting.aspx,
Accounting,17,Campbell University,http://www.campbell.edu,16 to 1,40%,72%,68%,19%,75%,5%,"Campbell University in Buies Creek, N.C., offers an accounting degree online. Campbell is a private university with an enrollment of more than 6,000 undergraduate and graduate students. The BBA in accounting offers the curriculum completely online, with no in-person requirements, and eight-week accelerated semesters allow students greater flexibility and the ability to graduate more quickly. The program prepares students for work as CPAs in environments including government, corporations, and nonprofit groups. The degree provides a broad background in general principles of business, and is considered especially good preparation for students who want to try entrepreneurship. The 124-credit bachelor’s of business administration requires 42 general education credits and 78 within the accounting concentration, and students must maintain a minimum 2.0 GPA to graduate. Transfer students may receive credit for up to 64 semester hours from a regionally-accredited institution. Accounting courses at Campbell vary, from philosophy of business to management information systems to corporate finance.",450 Leslie Campbell Ave,Buies Creek,NC,27506,http://www.campbell.edu,https://aoe.campbell.edu/academics/bachelor-programs/accounting-b-b-a/,
Accounting,18,University of Mary,http://www.umary.edu/,15 to 1,6%,76%,78%,48%,65%,4.2%,"Students can earn an accounting degree online at the University of Mary in Bismarck, N.D. The private Catholic and Benedictine university makes it a point to include these religious and ethical viewpoints in all courses. The BS in accounting , offered through the Gary Tharaldson School of Business, is designed for busy working adults, and can be earned completely online or in a hybrid online/face-to-face program. Students learn numerous business principles and how to apply accounting practices in various settings. The curriculum includes courses like Internal Revenue Service (IRS) regulations, auditing standards, and SEC reporting requirements. The program’s accelerated format means students have greater flexibility and can complete their degrees more quickly than possible in a traditional on-campus bachelor’s program. Students can choose to continue on in the MBA in accountancy program or to pursue additional credits in order to be eligible to take the CPA exam.",7500 University Dr,Bismarck,ND,58504,http://www.umary.edu/,http://www.umary.edu/academics/programs/accounting-online-evening.php,
Accounting,19,Liberty University,http://www.liberty.edu,18 to 1,24%,69%,22%,46%,66%,7.5%,"Liberty University in Lynchburg, Va., is one of the best online colleges for accounting. Liberty is a private, non-profit research university with a Christian focus and an enrollment of more than 110,000, making it the largest Christian university in the world. Distance students can earn a bachelor’s of science in accounting entirely online with no on-campus or residency requirements through Liberty’s School of Business. Tuition is the same regardless of where students live. Featured courses in the program include international business, accounting ethics, taxation, and governmental and not-for-profit accounting. Liberty’s 120-credit BS degree allows transfer students to get credit for up to 90 credit hours of previously completed coursework. Thirty credit hours must be completed at Liberty. All Liberty students must complete three courses (12 credit hours) on Christian life and thought. Graduates find accounting-related work in numerous industries, including government, education, corporations, and non-profits.",1971 University Blvd,Lynchburg,VA,24515,http://www.liberty.edu,https://www.liberty.edu/online/bachelors/accounting/,
Accounting,20,Point Park University,http://www.pointpark.edu,13 to 1,39%,77%,70%,25%,74%,10.4%,"Students looking for accounting schools online find a bachelor’s of science in accounting available at Point Park University in Pittsburgh. The fully online program gives students practical accounting skills and an understanding of key subjects like macroeconomics, using computers in accounting, and business law. All online instructors have years of real-world experience in accounting, and focus on providing students with the skills needed to succeed professionally. Graduates of the program are prepared to work in entry-level jobs across multiple industries in positions like tax preparer, internal auditor, government accountant, and financial analyst. The 126-credit degree takes two to four years to complete, depending on previous coursework transferred in to the program. Each course lasts eight weeks and tuition is charged as a flat fee per credit, regardless of where students live or what their residency status may be. The curriculum features courses including management science, micro computing, and corporate finance.",201 Wood St,Pittsburgh,PA,15222-1984,http://www.pointpark.edu,http://online.pointpark.edu/online-programs/bachelor-of-science-in-accounting/,
Business Administration,1,Mount Mercy University,http://www.mtmercy.edu,14 to 1,45%,81%,56%,33%,74%,4.3%,"Mount Mercy University is regarded as one of the top private universities in Iowa. MMU not only boasts one of the lowest tuition rates among four-year institutions in the region, but also offers a number of accredited distance education options, including a fully online bachelor of business administration . The online business degree prepares students for entry-level employment or graduate school through synthesizing theoretical knowledge with hands-on experience. MMU’s online bachelor’s degree in business consists of at least 123 credits in general education, major, and elective coursework. Student takes classes in fundamental business topics like international marketing, organizational behavior, and employment law and labor relations. Online classes are presented asynchronously and usually last 10 weeks, though students may opt to take certain courses in an accelerated five-week format. Though students are not required to log into their class at any set times, they are expected to contribute to discussion through forums and group presentations.",1330 Elmhurst Dr NE,Cedar Rapids,IA,52402-4797,http://www.mtmercy.edu,https://online.mtmercy.edu/bachelor-business/,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475852660/logos/mount-mercy-university.png"
Business Administration,2,Wisconsin Lutheran College,http://wlc.edu,12 to 1,41%,70%,64%,37%,77%,4.2%,"Located in the vibrant city of Milwaukee, Wisconsin Lutheran College enrolls 1,200 students annually in its traditional and distance education programs. The school offers an online bachelor of science in business management and leadership catered to adult learners who want to accelerate their career by learning from experts in the field. Students engage with their peers through collaborative assignments. Major coursework includes human resources management, leading organizational change, and business diversity. This online business degree is offered in an accelerated format, enabling students to earn their diploma in as few as 21 months if they have the necessary general education and prerequisite requirements. Distance learners also gain access to professional development tools through the Student Success Center. Each student gets a personal academic advisor. Additionally, WLU offers a flat and affordable online tuition rate for the 48 credit hours it takes to complete major requirements.",8800 W Bluemound Rd,Milwaukee,WI,53226-4699,http://wlc.edu,http://www.wlc.edu/Business-Management-and-Leadership/,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475854259/logos/wisconsin-lutheran-college.png"
Business Administration,3,Asbury University,http://www.asbury.edu,12 to 1,64%,81%,68%,33%,70%,5.9%,"Asbury University provides accessible higher education to working students through its full-accredited weekend and distance education pathways. The school offers an online bachelor of science in organizational management for students interested in pursuing a business leadership role. This 124-credit program prepares graduates for management positions in such fields as supply chain and information technology. Students complete major courses in personal finance, principles of marketing, and economics. The degree plan also contains 46 elective hours, enabling distance learners to pursue advanced business topics or complete a minor concentration. With several entry dates throughout the year and classes structured in eight-week formats, students can start their degree and finish it quickly. Asbury provides a flat tuition rate for all online learners and offers financial assistance, including scholarships and discounts for military personnel. Additionally, the school allows students to transfer up to 75 credits from prior college-level work.",1 Macklem Dr,Wilmore,KY,40390-1198,http://www.asbury.edu,https://www.asbury.edu/gps/academics/degree-programs/aps-degree-completion/organizational-management,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475851652/logos/asbury-university.png"
Business Administration,4,Geneva College,http://www.geneva.edu,13 to 1,51%,84%,71%,28%,92%,5.6%,"Located just 35 miles northwest of Pittsburgh in Beaver Falls, Pennsylvania, Geneva College enrolls 1,700 students annually and boasts an average class size of 17. The school’s online bachelor of professional studies in management consists of 36 credits of major coursework in topics like marketing, quantitative business analysis, and principles of management and supervision. Through a curriculum grounded in practical skills development and knowledge of best business practices, students prepare for leadership roles as hospitality managers, real estate brokers, and account executives. Geneva’s online business degree program requires at least 120 credits to complete. The school has a flexible transfer policy, and with the right amount of prior credits, students can graduate in as little as 16 months. Distance learners also have access to Geneva’s financial aid, including loans, scholarships, military discounts, and employer reimbursement.",3200 College Ave,Beaver Falls,PA,15010-3599,http://www.geneva.edu,http://www.geneva.edu/adult-degree/majors/management,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475852270/logos/geneva-college.png"
Business Administration,5,King University,http://www.king.edu,11 to 1,43%,76%,56%,35%,69%,7.6%,"King University offers degree completion tracks for distance learning students who have completed prior college work and want to earn their diploma in as little as 16 months. Consisting of 48 semester hours of major coursework, the online bachelor of business administration focuses on developing the critical thinking and cooperative decision-making skills students will need to obtain leadership positions in the field. In addition to general education and prerequisite classes, students must complete major classes in areas such as corporate finance, information systems, and statistics and business research methods. They must also successfully pass a comprehensive assessment during their final semester. Students enjoy one of the lowest per-credit tuition rates of any business administration degree online program. Students may transfer up to 76 credits to further lower the cost of their degree. Courses are offered year-round, allowing students to enter the program at their convenience.",1350 King College Rd,Bristol,TN,37620-2699,http://www.king.edu,http://online.king.edu/online-degree-programs/bachelor-of-business-administration/,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475852402/logos/king-university.png"
Business Administration,6,LeTourneau University,http://www.letu.edu,14 to 1,42%,83%,49%,42%,57%,7.5%,"LeTourneau University is a leader in distance education. The school provides 90 academic programs to over 2,700 students annually, including an online bachelor of business administration degree . Whether a student’s goal is to obtain a job upon graduation or pursue graduate degree work, LeTourneau’s BBA prepares them through a curriculum that combines general leadership skills with specific major topics. Classes include business ethics and strategic management. Additionally, the university assists online students with internship support and opportunities to join professional organizations like the Sigma Beta Delta, the national business honor society. LeTourneau stands out among other online business degree programs because it offers two concentration options for BBA students. The first is a generalist track, ideal for students who are unsure of their career goals but want to get a well-rounded education. The second option enables online learners to specialize in human resource management, taking coursework in advanced areas like staffing, employment law, and compensation and benefits.",2100 S Mobberly Ave,Longview,TX,75602,http://www.letu.edu,http://www.letu.edu/opencms/opencms/_Academics/Business_and_Technology/Business/Degrees/BBA.html,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475852410/logos/letourneau-university.png"
Business Administration,7,The Sage Colleges,http://www.sage.edu,12 to 1,41%,81%,54%,22%,81%,6.3%,"Sage College was founded in 1916 as a school committed to helping women become active, equal members of society. Today, The Sage Colleges continue the tradition of empowering students by providing a variety of accessible academic programs, including an online bachelor of business administration . Professionally accredited by the International Assembly for Collegiate Business Education, this BBA degree trains students to communicate effectively and make decisions responsibility. Major coursework for this business administration degree online program includes topics like management information systems, business law, and applied statistics. Students must also take 12 hours of guided electives or use these credits to complete either an organizational studies or marketing concentration. Additionally, to give students the most comprehensive education available, an internship and a capstone seminar in the major are also part of the degree requirements. TSC offers an affordable tuition rate for all online students regardless of where they reside.",65 1st Street,Troy,NY,12180,http://www.sage.edu,https://online.sage.edu/online-programs/bachelor-science-business-administration/,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475854205/logos/the-sage-colleges.png"
Business Administration,8,University of Florida,http://www.ufl.edu/,21 to 1,64%,96%,45%,49%,32%,3.5%,"Located in Gainesville, the University of Florida offers a large number of degree programs through its online learning platform, including a bachelor of science (BSBA) and a bachelor of arts (BABA) in business administration . Both degree paths teach students fundamental skills such as applied statistics and strategic marketing, preparing them for such careers as budget analysts, fundraisers, and labor relations specialists. The BSBA, with its focus on advanced areas like entrepreneurship and real estate, is suited for students who want a more intensive business education. The BABA provides flexibility, enabling students to pair a core business education with another speciality field such as sports management or mass communications. Though tuition for all online students is affordable overall, Florida residents enjoy a steeply discounted rate. Students may begin the program in fall, spring, or summer. Students transferring into this business degree online program should have at least 60 credits with a minimum 2.0 GPA if they want to be competitive.",,Gainesville,FL,32611,http://www.ufl.edu/,http://ufonline.ufl.edu/degrees/undergraduate/business-administration/,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475854219/logos/university-of-florida.png"
Business Administration,9,Corban University,http://www.corban.edu,14 to 1,45%,77%,37%,21%,72%,3.8%,"Recognized as one of the top private institutions of higher learning in Oregon, Corban University enrolls over 2,000 students worldwide through its distance education programs. Among these offerings is an online business degree program that is both comprehensive and flexible enough to prepare students for careers or graduate studies in a wide variety of fields. The 129-credit degree plan includes core classes in financial management and business law. Students then declare a concentration, choosing either marketing, accounting, or leadership and management. Additionally, learners can apply their remaining 23 elective hours towards advanced business seminars, a complimentary minor, or any other course at Corban. Corban’s per-credit tuition rate is the same for all online students regardless of residency. Financial aid, including loans, grants, military benefits, and employer reimbursements, is available. Oregon residents get access to additional state-only scholarships.",5000 Deer Park Dr SE,Salem,OR,97317-9392,http://www.corban.edu,https://sps.corban.edu/business,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475851705/logos/corban-university.jpg"
Business Administration,10,Houghton College,http://www.houghton.edu,11 to 1,58%,87%,93%,32%,71%,3.9%,"Houghton College offers both an online bachelor of science (BS) or bachelor of business administration (BBA) in management . Both degrees train students in core business practices such as strategic accounting, employee recruitment and training, and labor laws. The BS offers more flexibility in terms of degree planning, allowing students to pursue separate interests, while the BBA is structured and focused, ideal for professionals in a business field looking to advance their career. Houghton’s online classes are asynchronous with no required log-in time. Additionally, students do not take standard tests, instead learning through applied methods. Courses are offered in eight-week terms and there are six start dates every year. Students with 63 transfer credits can earn their online business degree in just 18 months.",1 Willard Ave,Houghton,NY,14744,http://www.houghton.edu,http://www.houghton.edu/online/online-programs/management/,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475852287/logos/houghton-college.png"
Business Administration,11,Eastern University,http://www.eastern.edu/about/student-consumer-information,11 to 1,51%,78%,62%,33%,70%,7.8%,"Located near Philadelphia, Pennsylvania, Eastern University serves over 3,500 students every year in its traditional and accelerated distance education programs. The online bachelor of science in business administration accepts new students every seven weeks and enables them to earn the degree entirely online or through a hybrid delivery method. The degree plan totals 121 credits and includes major courses in organizational behavior, research methods, and ethical principles of management. Students must complete a capstone project in organizational change, in which they conduct independent research and present their findings and proposed solutions. Tuition for this business administration degree online program is priced at a flat per-credit rate for all students. Distance learners are eligible for financial aid, including institutional scholarships, partner grants, and military benefits. Eastern also provides academic services and professional resources, including personal advising, resume assistance, and networking opportunities, through its Office of Talent and Career Development.",1300 Eagle Rd,Saint Davids,PA,19087-3696,http://www.eastern.edu/about/student-consumer-information,http://www.eastern.edu/academics/programs/school-management-studies/bs-in-business-administration,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475851725/logos/eastern-university.png"
Business Administration,12,Mount Vernon Nazarene University,http://www.mvnu.edu,14 to 1,46%,82%,75%,40%,71%,6.5%,"Mount Vernon Nazarene University offers a number of distance education programs through its School of Graduate and Professional Studies, including an online bachelor of business administration . This accessible degree allows students to maintain their professional and personal obligations while learning the financial and management skills necessary to become responsible leaders. Students can choose to earn a standalone BBA or complete a specialization in finance, human resource management, marketing, or general management. Application requirements for MVNU’s business administration degree online program include an online form, all educational transcripts, and a GPA of at least 2.0. Prospective students must also have a minimum of 56 transferable credits from a regionally-accredited college or university. MVNU guarantees its tuition rate will not increase as long as students enroll in classes regularly.",800 Martinsburg Rd,Mount Vernon,OH,43050-9500,http://www.mvnu.edu,https://www.mvnu.edu/gps/undergraduateprograms/bachelorofbusinessadministration,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475852661/logos/mount-vernon-nazarene-university.png"
